SMILES,Name,Pubchem_ID,CAS-RN,Tb,Tb_source,GHS_signal,298.15,298.150025,298.15004999999996,298.1500749999999,298.15009999999995,Mean,ln_gamma_inf_ij_,ln_gamma_inf_ik_,ln_gamma_inf_ji_,ln_gamma_inf_jk_,ln_gamma_inf_ki_,ln_gamma_inf_kj_,MW,Rank
CCCCCCC(C)O,2-OCTANOL,20083.0,"['123-96-6', '4128-31-8', '25339-16-6', '4128-32-9', '123-96-6']",453.0,WEBBOOK,Warning,11.945440195718263,11.945439871631168,11.945439547544103,11.945439223457079,11.945438899370101,11.945439547544144,0.3777539917929101,2.1952277369407285,0.3065796501322132,0.4389833182834447,2.919332896001961,0.2913262054367776,130.231,1
CCCCCCCCO,1-OCTANOL,957.0,"['111-87-5', '68603-15-6', '78510-02-8', '111-87-5', '220713-26-8', '67700-96-3']",467.85,CRC_ORG,Warning,9.702427797756261,9.702426668763495,9.702425539770962,9.70242441077866,9.702423281786583,9.702425539771193,0.3777535149557519,2.222457458678412,0.3065794117136341,0.5630082329041155,2.8353841428012516,0.19649935509565308,130.23100000000002,2
CCCCCCCO,1-HEPTANOL,8129.0,"['111-70-6', '53535-33-4', '1219804-99-5', '111-70-6', '38007-42-0', '01-00-0']",451.15,CRC_ORG,Warning,6.204581833701521,6.204580980622312,6.204580127543299,6.204579274464478,6.204578421385847,6.204580127543491,0.37775531667935025,2.0909302905893496,0.3065796501322132,0.491456327063282,2.3167440766363745,-0.08609665544666081,116.204,3
CCCCOCCCC,"ETHER, DIBUTYL",8909.0,"['142-96-1', '01-00-0', '142-96-1']",414.75,CRC_ORG,Warning,5.599680948911896,5.599681197369144,5.5996814458263815,5.5996816942836185,5.599681942740834,5.599681445826374,0.37775555509792935,2.5256578130256786,0.3065794117136341,2.836495344971252,4.559205056420497,1.9892823576421343,130.231,4
CCCCCOC(C)=O,pentyl acetate,12348.0,"['628-63-7', '828-63-7', '628-63-7', '02-00-0']",422.55,CRC_ORG,Warning,5.51639842047414,5.51639826115184,5.516398101829558,5.5163979425072975,5.51639778318505,5.5163981018295765,0.37775531667935025,2.1269747033094633,0.3065794117136341,1.4216919783814792,3.1294171079036004,1.624447792157584,130.18699999999998,5
CCCCCCC(C)=O,2-OCTANONE,8093.0,"['111-13-7', '01-00-0']",446.15,CRC_ORG,Warning,4.6742083163828525,4.67420804661695,4.674207776851089,4.674207507085266,4.674207237319483,4.674207776851128,0.37775555509792935,3.458499843422294,0.306579173295055,0.9267658561581131,2.468825545041793,1.2093195597314943,128.215,6
CCCCCCO,1-HEXANOL,8103.0,"['111-27-3', '25917-35-5', '286013-16-9', '111-27-3', '01-00-0']",430.05,CRC_ORG,Warning,4.401922294503608,4.4019214021837,4.4019205098640555,4.4019196175446655,4.401918725225535,4.401920509864313,0.3777535149557519,2.170044442538084,0.3065794117136341,0.3571164724488229,1.83915739765814,-0.31343194702640514,102.17699999999999,7
CN1CCCCCC1=O,"HEXANOIC ACID, 6-AMINO, LACTAM, N-METHYL",17369.0,"['2556-73-2', '21-06-0']",464.24,JOBACK,Warning,4.147481661080608,4.147481650448105,4.147481639815603,4.147481629183103,4.147481618550602,4.147481639815604,0.3777535149557519,0.7281194949451629,0.306579173295055,-0.683930877187306,0.7385704390777882,-0.3296611081471597,127.187,8
CC(C)C(=O)N(C)C,"PROPANOIC ACID, 2-METHYL, AMIDE, N,N-DIMETHYL",243415.0,['21678-37-5'],448.65,YAWS,Warning,4.111124466127156,4.111124072518688,4.111123678910297,4.111123285301976,4.111122891693726,4.111123678910368,0.37775507826077115,1.4490644310222358,0.3065796501322132,-0.4630847196513301,0.950611672684245,0.5809465865027782,115.17599999999999,9
CCCCCCC#N,"HEPTANOIC ACID, NITRILE",12372.0,"['629-08-3', '629-08-3']",456.15,CRC_ORG,Warning,3.638699763776946,3.6387001234592384,3.638700483141531,3.63870084282383,3.638701202506133,3.6387004831415353,0.3777542302114892,0.8514388710563063,0.3065794117136341,0.8663205418058115,2.1579471495852127,1.6224149009411435,111.188,10
CCN(CC)CCC#N,"PROPANOIC ACID, 3(DIETHYLAMINO), NITRILE",79306.0,['5351-04-2'],470.15,YAWS,Warning,3.259503526312367,3.2595034402850414,3.259503354257725,3.2595032682304184,3.2595031822031215,3.2595033542577347,0.37775555509792935,2.540133222585412,0.3065794117136341,0.7977048819201574,1.9792797203733326,1.2370300121220952,126.203,11
CCNC(=O)CC,"PROPANOIC ACID, AMIDE, N-ETHYL",521324.0,['5129-72-6'],418.04,JOBACK,Warning,3.1473909350807365,3.147390919188297,3.147390903295859,3.147390887403422,3.1473908715109866,3.14739090329586,0.37775531667935025,1.0352001713794687,0.3065794117136341,-0.2986469927639305,0.8479268321883506,-0.011109629636623874,101.14899999999999,12
CCN(C=O)CC,"FORMIC ACID, AMIDE, N,N-DIETHYL",12051.0,"['617-84-5', '617-84-5']",448.15,CRC_ORG,Warning,3.0814601985834145,3.0814598197506426,3.0814594409179525,3.081459062085343,3.0814586832528104,3.0814594409180325,0.37775555509792935,1.50328640388218,0.3065794117136341,-0.20104870379626236,0.9243546254142803,0.7869803119817662,101.149,13
CCC(=O)N(C)C,"PROPANOIC ACID, AMIDE, N,N-DIMETHYL",12965.0,"['758-96-3', '04-00-0']",449.15,CRC_ORG,Warning,2.593705664384842,2.5937055445057022,2.5937054246265787,2.5937053047474703,2.5937051848683788,2.5937054246265943,0.3777542302114892,0.9780242383979652,0.3065794117136341,-0.44709032553406275,0.5059971936289986,0.4143203998257971,101.14899999999999,14
CC(C)CCO,"1-BUTANOL, 3-METHYL",31260.0,"['123-51-3', '6423-06-9', '8013-75-0', '123-51-3']",403.95,CRC_ORG,Warning,2.4766917990490462,2.476691207294603,2.4766906155403583,2.4766900237863054,2.4766894320324435,2.4766906155405515,0.3777539917929101,2.10508040934619,0.3065794117136341,0.32909218085508385,1.236015420670863,-0.28822210552526856,88.14999999999999,15
CC(=O)C1CC=CCC1,"3-CYCLOHEXENE, 1-ACETYL",239587.0,['7353-76-6'],455.22,JOBACK,Warning,2.4512408947922943,2.4512412235693946,2.451241552346509,2.451241881123637,2.4512422099007845,2.4512415523465245,0.37775460142361295,1.0163884353374224,0.3065794117136341,0.30718498984153053,1.2037796421004638,0.733413170075673,124.18299999999999,16
Cc1cccc(C)n1,"PYRIDINE, 2,6-DIMETHYL",7937.0,"['108-48-5', '135742-47-1', '108-48-5']",417.15,CRC_ORG,Warning,2.2589413516626347,2.2589413389872854,2.2589413263119362,2.2589413136365897,2.2589413009612427,2.2589413263119376,0.377753753374331,1.7586964431623489,0.3065794117136341,-0.1548118542664047,0.6600844095806611,0.12229160824572789,107.156,17
OC1CCCCCC1,CYCLOHEPTANOL,10399.0,['502-41-0'],458.15,CRC_ORG,Warning,2.2468750144762177,2.2468749680759226,2.2468749216756323,2.2468748752753465,2.246874828875066,2.2468749216756367,0.3777542302114892,1.7611093070282107,0.3065794117136341,0.39725511357208254,1.2067954406401125,-0.05600256833793486,114.188,18
COC(=O)N1CCCC1,"1-PYRROLIDINECARBOXYLIC ACID, METHYL ESTER",232667.0,['56475-80-0'],423.22,JOBACK,Warning,2.2429662332359874,2.2429661680037176,2.2429661027714554,2.242966037539201,2.242965972306954,2.242966102771463,0.3777532765371728,1.5458168602537823,0.3065794117136341,0.8742106995436971,1.6820098425161525,0.9881294370713359,129.159,19
CCCC(C)O,2-PENTANOL,22386.0,"['6032-29-7', '26635-63-2', '51000-78-3', '01-00-0', '50858-14-5', '33968-72-8']",392.25,CRC_ORG,Warning,2.1971429717899795,2.1971423376858867,2.1971417035820315,2.197141069478417,2.1971404353750383,2.197141703582271,0.37775507826077115,2.086028139266045,0.3065794117136341,0.35243523320275,1.1395925231971384,-0.18572299413791146,88.14999999999999,20
CCC(O)CC,3-PENTANOL,11428.0,"['584-02-1', '144032-75-7', '01-00-0']",396.15,CRC_ORG,Warning,2.1740576597289367,2.174057127677625,2.174056595626495,2.1740560635755384,2.1740555315247585,2.174056595626671,0.3777539917929101,2.1044717328230065,0.3065794117136341,0.28435532586816337,1.0609501471752205,-0.13404889789904165,88.15,21
CCCCCO,1-PENTANOL,6276.0,"['71-41-0', '30899-19-5', '148587-12-6', '01-00-0', '71-41-0']",410.75,CRC_ORG,Warning,2.1644981949503594,2.164497723429996,2.164497251909778,2.1644967803897033,2.1644963088697704,2.1644972519099213,0.377753753374331,2.4829832145368997,0.3065794117136341,0.42844228434840215,1.200630402628561,-0.4434490204687546,88.14999999999999,22
O=CC1=CCCCC1,1-CYCLOHEXENE-1-CARBOXALDEHYDE,5184540.0,"['1192-88-7', '1321-16-0']",436.78,JOBACK,Warning,2.124961962105088,2.1249621261842595,2.1249622902634275,2.1249624543425933,2.124962618421759,2.1249622902634258,0.377753753374331,0.7978210253385416,0.3065789348764759,0.7584824957803566,1.512236552240885,0.926047260158021,110.156,23
CCCCOC(C)=O,"ACETIC ACID, BUTYL ESTER",31272.0,"['123-86-4', '02-00-0', '123-86-4']",399.15,CRC_ORG,Warning,1.9504069612670911,1.9504070289328534,1.9504070965986129,1.9504071642643679,1.9504072319301196,1.950407096598609,0.377753753374331,1.705173553548601,0.3065796501322132,1.511664875624429,2.17970299389765,1.3087136311554783,116.15999999999998,24
CCCCOCCC#N,"PROPANOIC ACID, 3-BUTOXY, NITRILE",23395.0,"['6959-71-3', '03-00-0']",444.15,COMMON_CHEMISTRY,Warning,1.9482931452978411,1.948293278319999,1.9482934113421535,1.9482935443643068,1.948293677386457,1.9482934113421517,0.37775555509792935,1.6900086898677293,0.3065794117136341,1.1348158712968373,1.8017696870137325,1.329282794892655,127.187,25
CC(C)NC=O,"FORMIC ACID, AMIDE, N-ISOPROPYL",268118.0,['16741-46-1'],389.51,JOBACK,Warning,1.804188650142585,1.804188572460605,1.8041884947786357,1.8041884170966767,1.8041883394147278,1.804188494778646,0.37775555509792935,1.477957790660859,0.306579173295055,-0.07743852171112724,0.5126723815987557,-0.043278613746770445,87.12199999999999,26
